year,mo,da,temp,prcp
2008,07,31,75.8,0.44
2008,05,03,56.0,0.0
2008,02,09,37.0,0.0
2008,01,17,29.0,0.0
2008,12,18,33.7,0.03
2008,06,06,71.0,0.01
2008,11,22,24.5,0.02
2008,09,04,75.4,0.0
2008,04,29,51.0,0.95
2008,06,23,74.6,0.0
2008,01,15,30.1,0.02
2008,09,07,70.6,0.15
2008,04,07,44.1,0.0
2008,04,10,57.4,0.0
2008,03,22,38.2,0.0
2008,04,08,47.9,0.0
2008,03,29,37.7,0.0
2008,11,18,31.7,0.0
2008,02,04,37.1,0.0
2008,07,22,78.1,0.0
2008,12,20,30.2,0.06
2008,04,06,46.9,0.0
2008,04,16,49.6,0.0
2008,04,02,47.3,0.0
2008,04,18,63.6,0.0
2008,01,22,25.3,0.0
2008,05,26,67.1,0.0
2008,07,20,81.1,0.0
2008,08,04,71.8,0.0
2008,08,16,69.2,0.04
2008,08,21,66.5,0.0
2008,10,17,54.6,0.0
2008,10,18,48.9,0.0
2008,01,16,31.6,0.0
2008,02,25,34.0,0.0
2008,03,23,35.5,0.0
2008,08,18,73.2,0.0
2008,09,03,72.5,0.0
2008,09,19,58.9,0.0
2008,10,23,42.3,0.0
2008,10,31,44.0,0.0
2008,11,09,47.7,0.0
2008,11,28,36.1,0.0
2008,12,14,31.9,0.0
2008,02,15,32.8,0.0
2008,02,16,29.5,0.0
2008,03,06,37.0,0.07
2008,05,24,59.7,0.0
2008,06,13,75.4,0.0
2008,10,20,43.8,0.0
2008,11,10,41.8,0.0
2008,11,29,34.9,0.0
2008,12,13,29.4,0.01
2008,04,25,61.2,0.0
2008,05,05,56.1,0.0
2008,01,19,31.2,0.0
2008,01,21,16.3,0.0
2008,01,28,30.0,0.0
2008,01,31,28.3,0.04
2008,03,09,32.2,0.33
2008,03,26,49.2,0.0
2008,05,07,63.6,0.0
2008,05,25,60.6,0.0
2008,06,08,82.2,0.0
2008,07,29,75.6,0.0
2008,09,10,66.4,0.64
2008,10,03,53.8,0.0
2008,10,06,54.3,0.0
2008,10,13,59.8,0.0
2008,11,17,38.5,0.0
2008,01,03,20.2,0.0
2008,01,04,24.6,0.0
2008,01,25,24.1,0.0
2008,01,26,24.1,0.0
2008,02,28,22.2,0.0
2008,03,13,37.8,0.0
2008,06,12,76.6,0.0
2008,07,03,76.0,0.0
2008,07,18,78.9,0.0
2008,07,25,69.7,0.07
2008,08,01,77.2,0.0
2008,11,11,37.3,0.0
2008,11,23,26.7,0.0
2008,12,02,35.9,0.08
2008,02,11,14.2,0.01
2008,02,19,34.8,0.01
2008,06,03,68.0,0.0
2008,07,16,74.3,0.0
2008,08,09,67.5,0.0
2008,08,12,67.3,0.14
2008,08,17,70.7,0.0
2008,09,02,71.7,0.0
2008,09,24,59.1,0.0
2008,10,10,62.0,0.0
2008,10,12,58.2,0.0
2008,10,24,41.2,0.0
2008,10,30,41.5,0.0
2008,11,12,40.5,0.0
2008,12,30,38.6,0.0
2008,05,02,56.8,0.0
2008,12,29,40.5,0.0
2008,02,17,32.3,0.0
2008,12,12,36.6,0.99
2008,09,28,68.0,1.89
2008,03,19,46.0,0.15
2008,02,23,30.9,0.14
2008,02,22,25.9,0.12
2008,11,14,50.6,0.36
2008,12,11,39.2,0.47
2008,02,01,33.0,0.1
2008,04,28,50.1,0.22
2008,12,10,53.1,0.0
2008,10,01,59.4,0.25
2008,09,13,73.1,1.17
2008,02,05,41.2,0.0
2008,11,08,55.9,0.0
2008,02,27,35.8,0.52
2008,07,24,70.5,0.67
2008,02,26,35.8,0.0
2008,05,27,72.0,0.04
2008,07,05,71.5,0.38
2008,03,31,40.5,0.0
2008,09,12,66.4,0.0
2008,12,24,34.0,0.15
2008,09,26,59.8,0.23
2008,03,05,49.6,1.21
2008,07,23,72.9,0.7
2008,09,09,69.9,0.0
2008,07,04,70.3,0.03
2008,05,20,46.8,0.02
2008,06,28,75.4,0.46
2008,11,15,59.0,0.17
2008,07,08,74.2,2.45
2008,02,10,33.7,0.06
2008,03,15,48.8,0.02
2008,06,17,65.7,0.17
2008,04,11,61.3,0.01
2008,08,25,72.9,0.0
2008,01,09,54.3,0.0
2008,06,10,81.1,0.0
2008,05,12,47.8,0.12
2008,08,14,70.3,0.0
2008,08,06,77.3,0.04
2008,10,09,65.9,0.0
2008,12,25,41.7,0.62
2008,04,21,58.5,99.99
2008,03,20,48.5,0.72
2008,03,01,36.9,0.07
2008,11,05,56.6,0.0
2008,05,15,63.9,0.01
2008,06,27,76.3,0.02
2008,07,09,76.6,0.01
2008,08,07,71.4,0.0
2008,08,10,65.9,0.0
2008,08,05,72.7,0.0
2008,04,15,46.2,0.0
