year,mo,da,temp,prcp
2012,08,21,66.4,0.0
2012,11,14,39.0,0.1
2012,07,06,83.7,0.0
2012,05,25,72.4,0.0
2012,06,29,82.5,0.22
2012,02,21,33.3,0.0
2012,05,03,59.9,0.19
2012,01,04,18.6,0.0
2012,01,05,30.3,0.0
2012,01,06,36.7,0.0
2012,01,07,42.0,0.0
2012,01,12,44.9,0.65
2012,01,15,23.0,0.0
2012,01,17,39.4,0.03
2012,02,01,52.7,0.03
2012,02,08,32.6,0.0
2012,02,15,40.7,0.0
2012,02,19,36.3,0.0
2012,02,26,36.6,0.0
2012,02,27,40.4,0.0
2012,03,04,38.9,0.01
2012,03,06,32.8,0.0
2012,03,08,58.8,0.0
2012,03,09,49.0,0.05
2012,03,10,35.3,0.01
2012,03,15,54.4,0.0
2012,04,04,57.7,0.0
2012,04,08,52.2,0.0
2012,04,15,64.4,0.09
2012,04,16,69.8,0.08
2012,04,22,49.3,0.29
2012,04,29,50.3,0.0
2012,05,05,68.3,0.21
2012,05,09,66.0,0.26
2012,05,10,57.3,0.1
2012,05,12,62.1,0.0
2012,05,16,69.9,0.54
2012,05,19,65.3,0.0
2012,05,20,68.6,0.0
2012,05,30,71.8,0.61
2012,06,01,65.0,0.0
2012,06,04,61.8,0.05
2012,06,05,58.8,0.23
2012,06,08,67.7,0.0
2012,06,10,77.2,0.0
2012,06,15,69.5,0.0
2012,06,21,83.5,0.0
2012,06,27,70.3,0.0
2012,06,28,76.5,0.0
2012,06,30,80.4,0.11
2012,07,09,79.2,0.0
2012,07,12,77.3,0.0
2012,07,18,83.1,0.0
2012,07,19,77.4,0.65
2012,07,31,73.9,0.04
2012,08,05,80.1,0.0
2012,08,10,74.5,0.21
2012,08,16,72.8,0.02
2012,08,23,76.5,0.0
2012,08,28,77.5,0.11
2012,08,31,73.0,0.0
2012,09,10,61.8,0.01
2012,09,11,60.2,0.0
2012,09,15,65.1,0.0
2012,09,19,61.8,1.79
2012,09,20,57.0,0.03
2012,09,21,61.5,0.0
2012,09,23,58.3,0.05
2012,09,24,53.9,0.0
2012,09,28,67.2,0.39
2012,10,05,64.7,0.02
2012,10,17,48.3,0.0
2012,10,22,52.3,0.0
2012,11,07,37.3,0.0
2012,11,08,42.0,0.0
2012,11,09,42.9,0.0
2012,11,11,48.8,0.0
2012,11,12,52.7,0.0
2012,11,25,34.5,0.0
2012,11,26,33.2,0.0
2012,11,29,33.2,0.0
2012,12,07,34.1,0.0
2012,12,16,43.6,0.0
2012,12,18,46.0,0.25
2012,12,27,34.5,0.64
2012,12,28,33.7,0.26
2012,12,30,31.7,0.19
2012,02,02,42.7,0.0
2012,03,14,61.5,0.0
2012,03,25,51.3,0.08
2012,01,02,37.9,0.03
2012,01,08,38.7,0.0
2012,01,09,31.0,0.0
2012,01,20,27.6,0.0
2012,01,29,36.3,0.0
2012,01,31,40.9,0.0
2012,02,04,33.4,0.0
2012,02,06,35.1,0.0
2012,02,09,31.5,0.1
2012,02,10,31.5,0.0
2012,02,12,23.8,0.01
2012,02,13,31.4,0.0
2012,02,20,36.4,0.0
2012,03,03,47.4,0.17
2012,03,07,43.5,0.0
2012,03,13,61.3,0.05
2012,03,23,61.1,0.01
2012,03,27,38.7,0.0
2012,03,28,51.2,0.0
2012,04,05,49.4,0.0
2012,04,11,42.2,0.0
2012,04,12,46.5,0.01
2012,04,14,54.0,0.0
2012,04,17,66.9,0.0
2012,04,18,53.0,0.0
2012,04,21,61.8,0.0
2012,04,30,49.2,0.0
2012,05,22,67.2,0.0
2012,05,31,70.6,0.0
2012,06,11,75.6,0.0
2012,06,14,69.2,0.0
2012,06,20,80.4,0.01
2012,06,22,81.5,0.0
2012,06,23,75.7,0.05
2012,07,02,79.7,0.0
2012,07,04,82.3,0.0
2012,07,22,73.2,0.15
2012,07,23,76.6,0.0
2012,07,24,81.0,0.21
2012,07,26,75.7,0.0
2012,07,28,76.8,0.0
2012,07,30,73.4,0.0
2012,08,01,73.7,0.02
2012,08,02,75.8,0.0
2012,08,03,78.0,0.0
2012,08,04,78.4,0.0
2012,08,09,77.6,0.0
2012,08,11,76.3,0.1
2012,08,12,73.0,0.0
2012,08,19,65.2,0.01
2012,08,27,74.6,0.0
2012,08,29,71.1,0.01
2012,09,06,72.2,0.0
2012,09,14,65.6,0.0
2012,09,27,66.1,0.22
2012,09,29,58.8,0.04
2012,10,01,55.7,0.01
2012,10,08,45.3,0.09
2012,10,13,42.6,0.0
2012,10,29,51.7,0.36
2012,10,31,42.0,0.44
2012,11,02,44.0,0.0
2012,11,05,38.6,0.0
2012,11,06,34.8,0.0
2012,11,10,42.0,0.0
2012,11,15,36.4,0.0
2012,11,16,39.3,0.0
2012,11,22,39.3,0.0
2012,11,23,41.0,0.0
2012,11,28,34.1,0.23
2012,12,06,33.2,0.0
2012,12,29,29.0,0.0
2012,10,11,49.9,0.0
2012,01,24,40.2,0.14
2012,01,25,37.5,0.0
2012,03,18,53.2,0.0
2012,03,19,57.4,0.0
2012,03,20,63.3,0.01
2012,04,20,58.8,0.01
2012,04,26,49.5,0.01
2012,05,06,61.1,0.01
2012,05,21,66.2,0.0
2012,07,27,77.0,0.93
2012,08,17,72.7,0.01
2012,09,03,72.8,0.13
2012,09,08,73.3,0.0
2012,09,09,65.2,0.66
2012,09,18,68.5,0.0
2012,10,03,66.8,1.86
2012,10,04,68.1,0.01
2012,10,25,59.8,0.0
2012,10,27,61.0,0.0
2012,10,30,46.0,2.31
2012,11,27,33.8,0.09
2012,12,08,43.1,0.15
2012,12,09,43.9,0.01
2012,12,17,45.0,0.21
2012,03,17,56.0,0.0
2012,04,23,42.8,1.17
2012,05,07,57.1,0.0
2012,05,08,61.3,0.01
2012,06,13,70.4,0.72
2012,06,18,63.2,0.0
2012,08,22,69.5,0.0
2012,10,20,56.4,0.3
2012,12,25,34.5,0.17
2012,08,24,81.1,0.0
2012,05,01,61.0,0.15
2012,04,27,50.0,0.0
2012,05,04,66.3,0.0
2012,01,11,34.2,0.0
2012,01,13,36.6,0.14
2012,01,14,28.0,0.07
2012,01,16,22.9,0.0
2012,01,19,25.7,0.0
2012,01,27,47.2,0.35
2012,02,03,37.4,0.0
2012,02,05,35.6,0.0
2012,02,16,35.4,0.0
2012,02,18,39.3,0.02
2012,02,28,42.5,0.0
2012,03,02,39.8,0.01
2012,03,11,40.7,0.0
2012,03,12,49.1,0.0
2012,03,16,51.1,0.0
2012,03,29,54.4,0.02
2012,04,01,46.9,0.01
2012,04,03,49.7,0.01
2012,04,09,54.2,0.0
2012,04,10,49.7,0.0
2012,04,13,49.3,0.0
2012,04,25,50.3,0.0
2012,04,28,43.1,0.0
2012,05,13,66.1,0.0
2012,05,14,63.0,0.0
2012,05,18,61.4,0.0
2012,05,23,68.8,0.0
2012,05,26,74.8,0.04
2012,05,29,79.9,0.0
2012,06,03,63.3,0.0
2012,06,06,61.4,0.01
2012,06,16,69.0,0.0
2012,06,19,69.6,0.0
2012,06,25,73.0,0.01
2012,07,01,81.0,0.0
2012,07,05,85.6,0.0
2012,07,07,87.3,0.0
2012,07,10,78.8,0.0
2012,07,16,78.3,0.36
2012,07,20,69.0,0.49
2012,07,21,66.9,0.31
2012,07,25,76.0,0.0
2012,08,06,78.2,0.61
2012,08,14,71.6,0.0
2012,08,18,71.4,0.02
2012,08,20,67.9,0.01
2012,08,25,72.0,0.0
2012,09,01,78.2,0.0
2012,09,02,72.5,0.0
2012,09,22,68.0,0.0
2012,09,26,66.5,0.0
2012,09,30,55.6,0.0
2012,10,07,49.0,0.0
2012,10,09,50.3,0.0
2012,10,12,46.9,0.0
2012,10,16,53.0,0.15
2012,10,18,54.7,0.0
2012,10,19,62.4,1.42
2012,10,21,50.7,0.01
2012,10,23,54.1,0.0
2012,10,26,61.2,0.0
2012,11,04,40.9,0.0
2012,11,13,47.0,0.68
2012,11,17,39.1,0.0
2012,11,21,41.3,0.0
2012,11,24,40.0,0.0
2012,11,30,33.5,0.0
2012,12,01,38.4,0.0
2012,12,02,42.8,0.0
2012,12,05,51.8,0.01
2012,12,12,34.4,0.05
2012,12,19,39.6,0.01
2012,12,20,35.3,0.0
2012,12,22,36.3,0.83
2012,12,24,30.9,0.0
2012,12,31,29.7,0.0
2012,02,24,42.6,0.19
2012,03,24,55.6,0.19
2012,07,15,78.3,0.02
2012,01,03,26.6,0.0
2012,01,18,40.0,0.22
2012,01,21,25.9,0.35
2012,01,28,40.1,0.16
2012,01,30,34.3,0.0
2012,02,07,38.6,0.0
2012,02,14,37.7,0.0
2012,02,17,42.6,0.2
2012,02,22,43.6,0.0
2012,02,23,49.6,0.0
2012,02,25,38.8,0.03
2012,02,29,38.5,0.0
2012,03,01,44.5,1.44
2012,03,05,34.2,0.0
2012,03,30,43.3,0.0
2012,03,31,44.2,0.48
2012,04,02,49.0,0.11
2012,04,06,45.5,0.0
2012,04,07,48.4,0.0
2012,04,24,46.4,0.06
2012,05,11,56.2,0.01
2012,05,15,66.4,0.83
2012,05,17,64.1,0.0
2012,05,24,69.5,0.15
2012,05,27,75.5,0.39
2012,06,02,64.5,2.68
2012,06,09,72.7,0.0
2012,06,12,70.3,0.01
2012,06,17,65.8,0.0
2012,06,24,74.1,0.0
2012,07,03,77.5,0.0
2012,07,08,80.8,0.0
2012,07,11,76.2,0.0
2012,07,13,77.1,0.0
2012,07,17,82.9,0.01
2012,07,29,72.3,0.25
2012,08,07,74.2,0.0
2012,08,13,72.8,0.0
2012,08,15,72.2,0.17
2012,08,26,72.3,0.1
2012,08,30,69.5,0.0
2012,09,04,75.5,2.49
2012,09,05,77.8,0.29
2012,09,12,63.1,0.0
2012,09,13,64.8,0.0
2012,09,16,61.0,0.0
2012,09,17,60.6,0.0
2012,09,25,55.9,0.0
2012,10,06,61.4,0.01
2012,10,14,54.3,0.0
2012,10,15,62.8,0.0
2012,10,24,60.9,0.06
2012,11,03,42.6,0.0
2012,11,18,39.2,0.0
2012,11,19,41.4,0.0
2012,11,20,40.2,0.0
2012,12,13,34.8,0.0
2012,12,14,33.6,0.0
2012,12,15,35.1,0.0
2012,12,23,34.5,0.0
2012,12,26,30.5,0.0
2012,06,07,66.0,0.0
2012,03,26,50.7,0.0
2012,06,26,66.0,0.0
2012,11,01,44.8,0.0
2012,02,11,32.8,0.1
2012,03,22,59.9,0.0
2012,08,08,76.6,0.0
2012,09,07,76.6,0.0
2012,12,04,55.3,0.0
2012,12,10,45.1,0.19
2012,01,01,42.6,0.0
2012,01,10,36.5,0.0
2012,01,22,23.9,0.03
2012,01,23,32.2,0.0
2012,01,26,36.2,0.03
2012,03,21,61.5,0.0
2012,04,19,55.6,0.1
2012,05,02,58.4,0.16
2012,05,28,75.0,0.14
2012,07,14,73.1,0.45
2012,10,02,60.8,0.04
2012,10,10,56.6,0.12
2012,10,28,55.7,0.0
2012,12,03,51.5,0.01
2012,12,11,44.0,0.06
2012,12,21,41.5,1.35
