year,mo,da,temp,prcp
2015,12,31,46.9,0.1
2015,12,30,43.9,0.07
2015,08,17,77.8,0.0
2015,01,11,19.7,0.0
2015,01,16,29.4,0.0
2015,01,17,22.5,0.0
2015,01,19,33.3,0.01
2015,01,24,33.6,0.64
2015,02,04,27.2,0.0
2015,02,06,18.5,0.0
2015,02,09,32.1,0.0
2015,02,12,31.1,0.0
2015,02,19,14.2,0.0
2015,02,20,5.8,0.0
2015,02,27,22.8,0.0
2015,03,03,24.4,0.0
2015,03,10,37.1,0.0
2015,03,12,41.9,0.01
2015,03,15,40.2,0.17
2015,03,16,39.7,0.0
2015,03,30,42.8,0.0
2015,04,01,40.6,0.01
2015,04,03,59.6,0.01
2015,04,12,49.9,0.0
2015,04,30,58.6,0.0
2015,05,03,62.5,0.0
2015,05,26,73.6,0.0
2015,05,27,74.5,0.0
2015,06,04,60.2,0.0
2015,06,07,66.0,0.0
2015,06,11,77.1,0.0
2015,06,12,79.2,0.0
2015,06,17,73.3,0.0
2015,06,21,76.9,0.93
2015,06,26,69.4,0.02
2015,06,28,65.2,1.43
2015,07,02,68.5,0.31
2015,07,06,74.2,0.0
2015,07,21,78.6,0.0
2015,07,23,70.8,0.0
2015,07,24,71.7,0.0
2015,07,26,75.0,0.0
2015,07,27,75.7,0.38
2015,08,05,73.1,0.04
2015,08,06,69.9,0.0
2015,08,23,68.2,0.0
2015,08,28,67.5,0.0
2015,08,29,69.2,0.0
2015,09,04,78.6,0.0
2015,09,05,73.7,0.07
2015,09,06,71.5,0.0
2015,09,07,73.1,0.0
2015,09,09,79.8,0.0
2015,09,15,64.6,0.0
2015,09,22,62.0,0.02
2015,09,25,64.9,0.0
2015,09,28,67.6,0.0
2015,09,29,71.7,0.0
2015,10,01,57.5,0.01
2015,10,04,52.9,0.07
2015,10,06,56.6,0.0
2015,10,21,55.7,0.0
2015,10,22,57.7,0.0
2015,10,23,57.0,0.0
2015,10,28,57.3,0.07
2015,10,30,47.9,0.01
2015,11,03,51.5,0.0
2015,11,11,54.6,0.36
2015,11,19,59.3,0.01
2015,11,23,32.8,0.0
2015,11,28,50.1,0.0
2015,11,30,35.8,0.01
2015,12,03,43.9,0.29
2015,12,07,37.7,0.0
2015,12,12,48.9,0.0
2015,12,14,56.8,0.0
2015,12,17,48.1,0.0
2015,12,22,49.0,0.09
2015,12,25,57.5,0.0
2015,12,29,41.1,0.64
2015,10,20,50.8,0.0
2015,11,06,66.8,0.0
2015,05,22,58.7,0.0
2015,01,06,18.2,0.02
2015,01,10,15.0,0.0
2015,01,15,28.2,0.0
2015,01,22,29.9,0.11
2015,01,26,26.2,0.04
2015,02,03,20.3,0.04
2015,02,08,34.0,0.0
2015,02,23,26.2,0.04
2015,02,26,25.6,0.0
2015,03,06,13.5,0.18
2015,03,09,39.4,0.0
2015,03,18,35.2,0.0
2015,03,19,35.7,0.0
