year,mo,da,temp,prcp
2006,11,06,38.3,0.0
2006,04,18,55.7,0.0
2006,02,21,29.5,0.0
2006,08,25,75.0,0.0
2006,01,06,37.0,0.0
2006,01,08,36.3,0.0
2006,01,12,45.9,0.32
2006,01,23,36.5,0.69
2006,01,25,36.2,0.05
2006,02,07,32.4,0.0
2006,02,27,23.6,0.0
2006,03,20,36.0,0.0
2006,03,21,30.7,0.0
2006,04,01,61.5,0.04
2006,04,12,56.4,0.0
2006,04,20,65.3,0.0
2006,04,26,47.9,0.11
2006,05,02,58.4,0.0
2006,05,10,62.5,0.0
2006,05,27,70.1,0.36
2006,06,04,61.7,0.01
2006,06,06,66.1,0.0
2006,06,08,66.1,0.08
2006,06,11,60.6,0.0
2006,06,17,71.7,0.0
2006,07,14,76.1,0.03
2006,09,26,60.0,0.0
2006,10,01,59.8,0.09
2006,10,05,61.8,0.04
2006,10,10,63.4,0.0
2006,10,18,63.9,0.76
2006,10,21,47.6,0.04
2006,12,28,37.0,0.0
2006,01,18,47.5,0.39
2006,01,30,44.5,0.09
2006,01,31,44.0,0.0
2006,04,08,49.0,0.16
2006,05,07,54.4,0.0
2006,05,26,64.7,0.0
2006,05,31,77.5,0.0
2006,07,19,76.5,0.19
2006,07,29,78.6,0.03
2006,08,22,72.7,0.0
2006,08,28,75.8,0.33
2006,10,15,44.2,0.0
2006,10,23,46.2,0.0
2006,11,08,54.9,0.01
2006,12,04,32.4,0.0
2006,12,10,37.0,0.0
2006,12,14,45.7,0.14
2006,12,16,44.6,0.0
2006,01,05,40.5,0.0
2006,02,13,23.2,0.01
2006,03,01,34.7,0.0
2006,03,05,36.2,0.0
2006,03,14,55.9,0.01
2006,04,15,61.8,0.03
2006,04,29,53.4,0.0
2006,05,21,56.1,0.0
2006,06,13,67.5,0.0
2006,07,16,78.6,0.13
2006,07,17,81.5,0.01
2006,08,03,85.8,0.0
2006,08,26,71.6,0.01
2006,09,04,66.3,0.0
2006,09,11,63.8,0.01
2006,10,09,60.8,0.0
2006,10,29,46.0,0.15
2006,10,30,46.3,0.0
2006,11,13,52.6,0.24
2006,11,18,41.4,0.0
2006,12,03,33.9,0.0
2006,12,12,42.9,0.0
2006,12,15,43.0,0.0
2006,12,31,37.5,0.0
2006,04,02,55.5,0.0
2006,09,12,61.2,0.0
2006,02,23,37.4,0.0
2006,06,01,76.7,0.0
2006,07,21,80.2,0.0
2006,01,22,34.8,0.0
2006,02,04,44.0,0.07
2006,04,19,61.3,0.0
2006,06,25,71.6,0.02
2006,09,13,58.9,0.01
2006,09,17,68.5,0.14
2006,05,15,55.2,0.35
2006,06,03,67.1,2.09
2006,07,28,77.6,0.3
2006,12,22,42.6,0.0
2006,12,08,25.9,0.0
2006,09,28,61.9,0.0
2006,01,01,36.5,0.11
2006,01,07,28.2,0.0
2006,01,19,35.4,0.64
2006,01,20,43.9,0.0
2006,02,10,28.9,0.0
2006,02,20,26.3,0.0
2006,05,05,67.7,0.0
2006,05,11,59.9,0.0
2006,05,20,57.4,0.04
2006,06,05,62.9,0.0
2006,06,15,69.1,0.06
2006,08,11,72.2,0.0
2006,08,18,73.6,0.0
2006,08,30,69.4,0.3
2006,09,08,67.2,0.01
2006,09,22,56.0,0.0
2006,09,23,67.7,0.01
2006,10,08,57.1,0.0
2006,10,17,53.7,0.01
2006,10,20,60.4,0.07
2006,10,22,46.8,0.0
2006,10,27,39.3,0.0
2006,12,17,39.9,0.0
2006,12,21,38.1,0.0
2006,01,14,50.9,0.2
2006,01,16,25.7,0.0
2006,02,02,38.3,0.0
2006,02,26,27.9,0.0
2006,03,17,41.6,0.0
2006,03,18,34.2,0.0
2006,03,25,40.1,0.0
2006,03,27,43.9,0.0
2006,04,04,48.0,0.57
2006,04,05,41.3,0.03
2006,04,13,62.8,0.03
2006,05,14,57.5,0.11
2006,05,23,53.4,0.0
2006,05,25,62.9,0.0
2006,06,12,62.8,0.0
