year,mo,da,temp,prcp
2002,07,31,87.4,0.0
2002,06,21,74.0,0.0
2002,02,23,36.8,0.0
2002,08,09,71.0,0.0
2002,11,26,40.5,0.0
2002,07,27,72.1,0.0
2002,05,12,60.5,0.25
2002,09,05,68.6,0.0
2002,02,25,38.3,0.0
2002,10,07,63.8,0.0
2002,12,13,30.1,99.99
2002,11,21,40.1,0.41
2002,06,15,62.2,0.5
2002,08,23,76.7,0.22
2002,09,22,74.0,0.07
2002,01,09,30.7,0.02
2002,09,14,69.3,0.0
2002,06,16,67.9,0.11
2002,02,21,52.9,0.0
2002,11,01,37.6,0.0
2002,12,09,20.8,0.0
2002,05,25,64.9,0.0
2002,08,02,82.6,0.0
2002,08,07,66.5,0.0
2002,12,18,24.7,0.0
2002,06,13,70.0,99.99
2002,05,27,68.1,0.0
2002,03,31,51.9,0.08
2002,11,18,40.2,0.49
2002,12,26,32.1,1.2
2002,04,26,49.8,0.12
2002,08,21,74.3,0.0
2002,08,29,61.0,1.04
2002,01,10,38.4,0.0
2002,02,06,32.1,0.0
2002,02,28,30.7,0.0
2002,10,30,34.8,0.69
2002,03,18,35.8,0.43
2002,01,07,33.4,0.23
2002,05,09,55.0,0.65
2002,10,15,46.7,0.0
2002,04,28,57.2,0.79
2002,10,16,51.9,0.33
2002,11,22,45.8,0.16
2002,03,13,44.4,0.26
2002,04,14,62.3,0.18
2002,09,01,61.3,0.03
2002,04,06,36.0,0.0
2002,07,28,78.9,0.11
2002,01,24,41.2,0.7
2002,01,11,39.6,0.27
2002,05,10,63.0,0.07
2002,05,26,62.6,0.0
2002,01,19,26.3,0.28
2002,12,14,38.6,0.15
2002,04,01,48.9,0.19
2002,01,23,39.8,0.0
2002,02,04,30.7,0.0
2002,07,21,77.2,0.0
2002,11,20,40.6,0.0
2002,07,20,77.4,0.0
2002,04,15,68.1,0.72
2002,11,06,43.8,0.49
2002,12,07,14.8,0.0
2002,06,10,74.7,0.0
2002,04,03,56.6,0.01
2002,06,07,63.5,0.05
2002,10,03,72.7,0.0
2002,10,13,59.3,0.01
2002,09,16,74.2,0.0
2002,03,30,57.0,0.0
2002,07,07,69.0,0.0
2002,08,15,81.7,0.0
2002,02,27,36.0,99.99
2002,03,02,36.3,0.1
2002,10,24,41.5,0.04
2002,11,02,37.6,0.0
2002,12,01,31.4,0.0
2002,02,13,35.5,0.0
2002,08,16,81.5,0.0
2002,04,20,66.6,0.02
2002,06,02,72.4,0.0
2002,07,11,67.8,0.01
2002,07,26,68.2,0.02
2002,09,25,62.6,0.0
2002,10,21,47.1,0.0
2002,11,28,27.7,0.01
2002,01,15,39.1,0.0
2002,02,26,46.1,0.0
2002,05,07,66.4,0.0
2002,12,29,32.5,0.0
2002,01,16,37.5,0.0
2002,02,09,40.1,0.0
2002,02,15,36.0,0.0
2002,03,08,50.5,0.0
2002,03,25,43.0,0.0
2002,04,17,75.5,0.0
2002,05,06,59.8,0.0
2002,05,23,58.4,0.0
2002,05,31,74.8,0.0
2002,07,02,81.3,0.0
2002,07,08,74.2,0.0
2002,07,13,69.0,0.0
2002,07,18,82.7,0.0
2002,08,08,68.8,0.0
2002,08,10,73.3,0.0
2002,08,12,79.9,0.0
2002,08,13,83.7,0.0
2002,08,19,82.3,0.0
2002,08,22,76.6,0.0
2002,09,09,70.5,0.0
2002,10,27,50.8,0.0
2002,10,28,46.0,0.0
2002,11,09,46.8,0.0
2002,03,03,51.1,0.8
