year,mo,da,temp,prcp
2009,01,26,21.1,0.0
2009,02,20,25.5,0.0
2009,03,08,56.9,0.0
2009,03,15,41.4,0.0
2009,04,20,46.7,0.01
2009,04,24,52.4,0.05
2009,04,27,75.0,0.0
2009,05,14,61.5,0.08
2009,05,24,74.4,0.0
2009,06,03,66.6,0.24
2009,06,17,60.4,0.0
2009,06,19,69.1,0.13
2009,06,21,71.8,0.69
2009,07,14,68.7,0.0
2009,08,11,78.7,0.01
2009,08,25,72.3,0.0
2009,09,07,66.7,0.0
2009,11,19,50.7,0.0
2009,11,28,43.5,0.0
2009,11,30,47.2,0.0
2009,12,09,41.4,1.11
2009,12,22,31.8,0.0
2009,12,31,29.4,0.04
2009,06,08,72.9,0.0
2009,01,05,39.1,0.0
2009,01,24,32.8,0.0
2009,02,04,24.7,0.38
2009,02,07,27.7,0.0
2009,02,08,46.8,0.0
2009,02,10,38.8,0.0
2009,04,09,45.3,0.0
2009,04,21,50.6,0.6
2009,04,23,46.9,0.08
2009,05,09,70.2,0.03
2009,05,13,55.2,0.0
2009,05,18,52.7,0.02
2009,06,25,75.7,0.0
2009,06,30,71.3,0.01
2009,07,09,68.0,0.0
2009,08,08,72.0,0.0
2009,09,05,69.3,0.0
2009,09,21,60.5,0.0
2009,10,03,64.9,0.03
2009,10,07,61.5,0.04
2009,10,25,54.6,1.0
2009,11,05,42.7,0.0
2009,11,09,52.1,0.0
2009,11,22,44.1,0.0
2009,11,23,45.4,0.0
2009,12,15,43.8,0.0
2009,01,06,31.9,0.0
2009,01,13,28.6,0.0
2009,01,17,8.8,0.0
2009,02,16,29.9,0.0
2009,03,24,33.7,0.0
2009,03,27,46.6,0.32
2009,05,02,61.5,0.27
2009,05,12,55.8,0.0
2009,05,17,60.8,0.17
2009,05,23,72.3,0.0
2009,07,26,74.2,0.25
2009,08,04,73.2,0.0
2009,09,09,67.4,0.0
2009,09,20,57.2,0.0
2009,09,28,60.6,0.03
2009,10,22,56.0,0.0
2009,11,07,38.4,0.0
2009,12,06,30.8,0.28
2009,12,07,31.0,0.0
2009,12,08,35.6,0.0
2009,12,10,36.8,0.2
2009,12,21,27.9,0.0
2009,05,10,61.5,0.0
2009,08,17,78.7,0.0
2009,03,16,43.6,0.0
2009,07,22,69.4,0.0
2009,09,13,68.5,0.1
2009,01,07,31.9,0.24
2009,05,06,56.0,0.24
2009,05,07,63.3,0.34
2009,07,16,78.6,0.0
2009,07,21,69.4,0.0
2009,07,27,73.4,0.08
2009,08,05,74.8,0.0
2009,01,28,28.5,0.43
2009,04,15,44.1,0.69
2009,05,03,55.9,0.09
2009,05,04,53.5,0.68
2009,07,20,71.0,0.0
2009,08,22,74.3,0.18
2009,08,30,70.5,0.48
2009,09,16,64.4,0.03
2009,10,16,38.7,0.84
2009,11,20,52.7,0.61
2009,11,03,47.8,0.0
2009,11,17,46.5,0.0
2009,09,29,57.7,0.04
2009,03,04,22.1,0.0
2009,01,03,31.3,0.0
2009,01,15,18.7,0.0
2009,02,17,29.4,0.0
2009,03,17,44.5,0.14
2009,04,06,50.7,0.0
2009,04,12,41.7,0.27
2009,05,20,62.1,0.0
2009,05,26,58.8,0.01
2009,06,10,70.0,0.0
2009,07,15,69.8,0.0
2009,07,29,77.1,0.0
2009,08,06,72.0,0.01
2009,08,23,75.8,0.05
2009,08,31,62.7,0.0
2009,09,06,67.0,0.0
2009,09,08,66.3,0.0
2009,10,05,54.3,0.0
2009,10,27,50.9,0.32
2009,11,14,54.7,0.01
2009,12,16,33.8,0.0
2009,12,23,23.0,0.0
2009,11,04,42.9,0.0
2009,01,11,28.9,0.05
2009,02,09,36.1,0.0
2009,02,21,28.6,0.0
2009,02,23,28.3,0.01
2009,02,26,34.8,0.0
2009,03,21,34.8,0.0
2009,04,01,45.0,0.0
2009,04,28,74.8,0.0
2009,06,09,73.0,0.0
2009,07,07,72.8,0.0
2009,07,10,68.4,0.0
2009,07,12,73.9,0.0
2009,08,13,73.2,0.29
2009,09,02,62.5,0.0
2009,09,25,66.6,0.0
2009,10,14,45.0,0.0
2009,11,08,48.5,0.0
2009,11,11,51.4,0.01
2009,12,04,43.7,0.52
2009,12,17,27.5,0.0
2009,01,04,28.8,0.0
2009,01,22,23.8,0.0
2009,02,06,18.6,0.0
2009,03,05,28.7,0.0
2009,03,13,34.2,0.0
2009,03,25,38.0,0.0
2009,03,31,42.2,0.0
2009,04,16,46.0,0.21
2009,04,18,58.9,0.0
2009,05,01,62.6,0.08
2009,05,08,62.7,0.12
2009,05,15,67.9,0.36
2009,05,25,71.4,0.09
2009,05,30,65.1,0.26
2009,06,04,57.5,0.83
2009,06,28,70.9,0.0
2009,07,01,72.0,0.41
2009,07,05,68.4,0.0
2009,08,01,71.9,0.07
2009,08,02,74.4,0.06
2009,08,16,77.2,0.01
2009,08,20,75.2,1.05
2009,08,27,73.4,0.0
2009,08,29,72.4,0.98
2009,09,01,61.1,0.0
2009,09,03,65.3,0.0
2009,10,04,58.6,0.0
2009,10,12,46.6,0.0
2009,10,23,55.6,0.0
2009,11,16,53.4,0.0
2009,11,18,46.7,0.0
2009,11,24,47.6,0.16
2009,12,02,38.3,0.0
2009,12,24,24.5,0.0
2009,09,19,61.5,0.0
2009,08,07,68.9,0.0
2009,07,18,70.6,0.09
2009,07,19,69.4,0.0
