year,mo,da,temp,prcp
2018,10,09,73.7,0.0
2018,08,04,75.9,2.7
2018,07,23,76.5,1.22
2018,12,28,48.1,0.48
2018,05,14,60.9,1.08
2018,08,03,76.8,0.75
2018,03,02,40.4,0.9
2018,08,19,70.2,0.06
2018,09,17,71.3,0.0
2018,09,25,64.7,0.47
2018,12,15,48.0,0.24
2018,04,25,57.1,1.09
2018,11,06,53.6,0.52
2018,05,13,56.3,0.08
2018,09,28,62.5,0.91
2018,03,07,35.3,0.11
2018,02,11,43.2,0.49
2018,12,02,48.0,0.5
2018,09,13,75.1,0.01
2018,05,29,73.2,0.0
2018,04,16,45.9,1.3
2018,10,08,73.1,0.0
2018,11,24,34.8,0.0
2018,07,24,76.3,2.53
2018,04,03,39.9,0.01
2018,11,15,33.2,0.0
2018,12,16,43.8,0.71
2018,09,26,74.0,0.73
2018,11,26,45.8,0.0
2018,10,28,47.8,0.15
2018,11,13,43.0,0.78
2018,05,17,64.6,0.63
2018,09,18,76.7,0.39
2018,07,27,77.0,0.0
2018,05,20,71.4,0.35
2018,08,02,75.0,0.47
2018,03,29,53.4,0.1
2018,12,20,34.1,0.0
2018,01,16,29.2,0.02
2018,08,13,75.1,1.76
2018,02,07,29.9,0.02
2018,06,23,67.5,0.25
2018,09,12,72.6,0.02
2018,09,10,60.0,1.23
2018,01,17,25.5,0.05
2018,10,02,70.6,0.0
2018,07,05,80.2,0.22
2018,02,21,63.9,0.0
2018,04,28,53.5,0.29
2018,11,25,45.1,1.79
2018,05,30,73.4,0.0
2018,08,22,74.8,1.06
2018,03,21,31.2,0.23
2018,06,28,77.8,0.4
2018,03,20,31.9,0.0
2018,09,20,69.5,0.0
2018,09,11,66.6,0.31
2018,05,23,69.7,0.16
2018,08,01,78.3,0.26
2018,10,27,46.1,0.72
2018,07,25,77.0,0.95
2018,05,19,54.9,1.21
2018,12,21,60.3,1.05
2018,06,01,75.5,0.06
2018,10,15,58.9,0.08
2018,07,22,69.6,1.44
2018,05,18,64.8,0.07
2018,01,30,31.9,0.0
2018,02,23,39.3,0.1
2018,09,24,63.2,0.07
2018,07,26,75.5,1.42
2018,11,05,48.9,0.1
2018,03,13,34.4,0.05
2018,02,19,36.4,0.0
2018,03,28,41.4,0.03
2018,04,02,39.9,0.46
2018,02,04,30.9,0.0
2018,11,16,38.5,1.03
2018,10,10,74.3,0.0
2018,02,24,44.6,0.05
2018,06,11,61.9,1.14
2018,08,08,77.8,0.35
2018,10,11,74.5,0.0
2018,08,31,74.5,0.0
2018,08,07,80.7,0.0
2018,06,04,60.3,0.52
2018,04,10,39.2,0.01
