year,mo,da,temp,prcp
2016,08,23,65.0,0.0
2016,08,16,77.1,0.0
2016,02,12,14.2,0.0
2016,04,24,51.4,0.05
2016,03,23,51.3,0.0
2016,12,22,37.2,0.0
2016,11,13,41.6,0.0
2016,09,27,67.0,0.22
2016,06,19,75.1,0.0
2016,08,29,79.0,0.0
2016,07,16,78.6,0.0
2016,09,30,57.8,1.34
2016,04,11,48.2,0.01
2016,08,13,81.5,0.39
2016,04,03,38.8,0.06
2016,03,13,49.7,0.0
2016,09,12,68.3,0.0
2016,02,26,33.7,0.1
2016,07,23,80.5,0.0
2016,08,02,72.2,0.84
2016,06,26,73.4,0.0
2016,03,09,58.5,0.0
2016,04,25,57.1,0.0
2016,02,09,30.7,0.09
2016,09,07,76.7,0.0
2016,10,20,68.7,0.0
2016,02,25,48.5,1.4
2016,01,19,17.1,0.0
2016,01,22,20.6,0.0
2016,03,15,45.8,0.39
2016,08,03,70.4,0.0
2016,08,09,71.9,0.0
2016,02,07,31.2,0.0
2016,09,25,60.4,0.0
2016,04,20,54.5,0.0
2016,01,13,21.8,0.0
2016,10,30,67.2,0.0
2016,08,31,73.9,0.0
2016,05,21,56.4,0.05
2016,09,28,61.2,0.1
2016,04,15,48.2,0.0
2016,12,20,24.2,0.0
2016,10,21,68.2,0.0
2016,07,01,74.2,0.0
2016,11,15,48.5,0.0
2016,02,16,35.5,0.19
2016,08,11,81.7,0.0
2016,08,21,74.1,0.0
2016,02,23,35.1,0.0
2016,11,14,40.2,0.0
2016,10,03,64.9,0.02
2016,03,21,37.8,0.0
2016,12,11,27.1,0.0
2016,04,29,45.4,0.19
2016,01,17,34.6,0.15
2016,11,22,39.8,0.0
2016,01,08,37.1,0.0
2016,12,28,39.1,0.0
2016,02,20,44.1,0.0
2016,07,10,74.0,0.06
2016,04,02,54.7,0.13
2016,03,02,42.7,0.01
2016,08,06,77.3,0.0
2016,01,20,22.5,0.0
2016,06,27,70.9,0.0
2016,09,14,75.1,0.0
2016,05,17,53.9,0.0
2016,12,14,34.9,0.0
2016,11,20,38.4,0.08
2016,07,14,80.2,0.48
