year,mo,da,temp,prcp
2010,02,24,37.2,0.04
2010,02,09,23.1,0.0
2010,03,02,36.1,0.0
2010,03,03,37.7,0.01
2010,03,16,50.1,0.08
2010,03,17,49.8,0.0
2010,04,05,62.7,0.0
2010,04,07,74.5,0.01
2010,04,15,55.4,0.0
2010,04,16,60.3,0.0
2010,04,24,53.2,0.0
2010,04,28,45.2,0.01
2010,05,02,74.5,0.0
2010,05,20,66.3,0.0
2010,06,23,79.5,0.1
2010,07,12,73.4,0.0
2010,08,09,77.8,0.0
2010,09,29,64.0,0.05
2010,10,16,55.5,0.0
2010,10,23,48.4,0.0
2010,10,29,49.7,0.01
2010,11,07,38.9,0.0
2010,11,15,48.7,0.0
2010,11,16,49.2,0.06
2010,12,14,20.3,0.0
2010,01,03,20.4,0.0
2010,02,01,24.9,0.0
2010,02,06,27.3,0.4
2010,02,11,29.1,0.29
2010,03,01,37.6,0.0
2010,03,05,38.5,0.0
2010,03,06,38.4,0.0
2010,04,06,70.3,0.0
2010,06,25,76.6,0.11
2010,07,07,87.2,0.0
2010,07,08,83.7,0.0
2010,07,21,79.2,0.16
2010,07,29,80.8,0.0
2010,07,30,72.7,0.0
2010,08,20,76.3,0.01
2010,08,28,68.4,0.0
2010,09,13,67.2,0.14
2010,09,22,69.9,0.0
2010,10,02,56.1,0.01
2010,11,11,46.3,0.0
2010,11,25,38.3,0.0
2010,12,15,23.3,0.0
2010,12,22,31.3,0.0
2010,01,20,33.6,0.0
2010,01,26,38.8,0.2
2010,01,30,17.8,0.0
2010,02,13,24.3,0.0
2010,03,07,42.0,0.0
2010,03,28,40.6,0.0
2010,04,04,59.4,0.0
2010,05,01,69.5,0.0
2010,05,09,48.7,0.09
2010,05,19,55.8,0.1
2010,05,21,71.1,0.0
2010,06,06,76.6,0.0
2010,06,20,81.1,0.0
2010,06,21,77.8,0.0
2010,07,14,74.6,0.25
2010,07,19,79.6,0.0
2010,08,01,72.7,0.01
2010,08,10,82.9,0.0
2010,08,19,73.1,0.05
2010,08,21,73.7,0.0
2010,09,12,61.4,0.39
2010,10,25,59.2,0.0
2010,10,30,44.9,0.0
2010,11,02,38.5,0.0
2010,11,26,42.8,0.22
2010,12,04,31.3,0.0
2010,12,19,25.3,0.0
2010,10,21,52.8,0.0
2010,03,15,45.4,0.14
2010,04,22,56.3,0.05
2010,08,16,75.3,0.31
2010,08,24,66.6,0.02
2010,09,26,65.9,0.0
2010,03,29,52.1,0.43
2010,06,13,77.1,0.15
2010,08,11,82.6,0.0
2010,03,13,45.4,0.36
2010,03,31,51.8,0.82
2010,05,12,48.7,0.62
2010,08,27,66.1,0.0
2010,11,29,33.9,0.0
2010,01,06,30.1,0.0
2010,01,27,31.8,0.0
2010,01,31,20.3,0.0
2010,02,27,30.7,0.01
2010,03,10,45.6,0.0
2010,03,30,43.7,0.06
2010,04,08,69.3,0.0
2010,04,14,45.6,0.12
2010,04,23,54.7,0.0
2010,04,27,52.2,0.23
2010,05,06,66.7,0.01
2010,05,08,62.4,0.0
2010,07,05,82.6,0.0
2010,07,16,80.4,0.0
2010,07,18,81.7,0.0
2010,07,23,80.3,0.0
2010,07,28,77.3,0.0
2010,08,05,80.4,0.0
2010,08,07,73.4,0.0
2010,08,08,75.5,0.0
2010,10,06,52.7,0.02
2010,10,08,58.8,0.0
2010,12,10,24.7,0.0
2010,12,18,25.5,0.0
2010,12,25,27.9,0.0
2010,01,11,22.4,0.0
2010,02,08,20.8,0.0
2010,02,21,33.8,0.0
2010,04,02,57.8,0.0
2010,04,09,52.6,0.39
2010,05,13,53.8,0.31
2010,05,14,65.1,0.0
2010,05,26,76.2,0.0
2010,06,01,73.9,0.69
2010,06,11,69.1,0.01
2010,06,17,73.4,0.03
2010,06,29,80.3,0.0
2010,06,30,69.3,0.0
2010,08,31,78.9,0.0
2010,09,02,81.6,0.0
2010,09,06,65.2,0.0
2010,09,08,80.2,0.0
2010,09,11,66.2,0.0
2010,09,14,65.5,0.0
2010,09,30,68.8,1.84
2010,10,03,55.1,0.0
2010,10,17,54.3,0.0
2010,11,27,35.1,0.01
2010,11,28,35.9,0.0
2010,12,01,51.9,0.02
2010,12,08,27.0,0.0
2010,12,16,21.4,0.0
2010,08,02,70.3,0.0
2010,01,18,41.6,0.7
2010,02,15,25.7,0.0
2010,02,17,27.3,0.0
2010,03,18,50.4,0.0
2010,03,19,53.6,0.0
2010,03,22,59.0,0.01
2010,04,30,61.3,0.0
2010,05,07,60.0,0.0
2010,05,16,61.5,0.0
2010,05,25,71.6,0.02
2010,06,09,60.2,0.0
2010,06,14,75.9,0.04
2010,06,24,81.8,0.0
2010,07,10,73.8,0.25
2010,07,15,78.5,3.01
2010,08,22,76.9,0.13
2010,09,01,79.7,0.0
2010,09,03,77.6,0.0
2010,09,04,72.2,0.0
2010,09,15,65.5,0.0
2010,09,17,67.1,0.53
2010,11,04,45.9,0.29
2010,11,09,47.5,0.0
2010,12,03,33.1,0.0
2010,12,09,24.4,0.0
2010,12,21,31.2,0.0
2010,12,23,33.3,0.0
2010,12,30,28.1,0.0
2010,09,25,78.9,0.0
2010,09,24,75.7,0.01
2010,11,14,44.7,0.0
2010,12,26,27.2,0.0
2010,01,24,34.4,0.0
2010,02,16,29.2,0.02
2010,04,26,50.9,0.51
2010,05,24,68.2,0.02
2010,05,29,69.0,0.02
2010,07,09,79.9,0.44
2010,08,03,75.0,0.0
2010,08,12,76.1,0.23
2010,09,23,71.5,0.0
2010,03,12,47.8,0.1
2010,10,04,51.0,0.18
2010,10,05,50.6,0.68
2010,11,23,48.9,0.0
2010,05,30,74.6,0.0
2010,01,13,28.8,0.0
2010,01,15,35.5,0.0
2010,01,21,31.2,0.0
2010,01,29,19.1,0.0
2010,02,02,27.6,0.0
2010,02,12,26.1,0.0
2010,02,18,34.8,0.0
2010,03,09,46.7,0.0
2010,03,21,59.0,0.0
2010,03,24,51.3,0.0
2010,03,27,35.1,0.07
2010,04,11,55.9,0.0
2010,05,04,69.1,1.56
2010,06,27,80.4,0.0
2010,07,06,86.4,0.0
2010,08,14,71.0,0.2
2010,08,18,71.8,0.01
2010,08,23,72.4,0.06
2010,08,25,69.3,0.01
2010,08,26,70.9,0.0
2010,09,18,61.5,0.01
2010,11,01,41.8,0.0
2010,11,20,39.9,0.0
2010,11,24,42.9,0.01
2010,12,24,30.8,0.0
2010,12,31,34.5,0.0
2010,01,01,33.0,0.28
2010,02,07,18.9,0.01
2010,04,18,44.8,0.0
2010,04,29,52.4,0.0
2010,05,15,65.9,0.08
2010,06,08,63.7,0.0
2010,06,26,76.8,0.0
2010,07,01,66.7,0.0
2010,07,03,72.1,0.0
2010,08,15,71.1,0.0
2010,09,16,62.3,0.0
2010,10,14,47.7,0.0
2010,10,18,52.8,0.0
2010,10,28,59.4,0.02
2010,11,08,43.2,0.0
2010,11,13,44.4,0.0
2010,12,02,34.2,0.7
2010,12,17,22.9,0.0
2010,12,20,27.5,0.0
2010,10,13,52.9,0.0
2010,01,04,25.8,0.0
2010,01,07,30.9,0.0
2010,01,14,31.0,0.0
2010,01,25,54.5,0.49
2010,01,28,33.3,0.0
2010,02,04,32.6,0.02
2010,02,25,34.0,0.0
2010,03,20,55.8,0.0
2010,03,25,51.0,0.0
2010,04,03,54.1,0.0
2010,04,25,49.8,0.31
2010,05,10,48.2,0.0
2010,05,31,73.9,0.0
2010,06,02,75.1,0.0
2010,06,03,78.2,0.0
2010,06,12,73.0,0.0
2010,06,15,72.6,0.0
2010,06,22,77.3,0.0
2010,07,04,78.0,0.0
2010,07,26,73.8,0.64
2010,07,31,70.5,0.0
2010,08,13,70.0,0.41
2010,08,30,77.6,0.0
2010,09,05,63.4,0.0
2010,09,09,64.6,0.0
2010,10,27,68.8,0.51
2010,11,05,46.3,0.81
2010,11,19,42.0,0.0
2010,11,21,41.0,0.0
2010,12,29,31.4,0.0
2010,01,09,24.7,0.0
2010,02,05,31.3,0.0
2010,05,18,51.4,0.19
2010,10,12,64.6,0.3
2010,04,13,47.9,0.0
2010,06,10,70.2,0.72
2010,09,27,66.3,0.27
2010,10,26,64.0,0.15
2010,12,13,32.7,0.55
2010,11,30,45.8,0.0
2010,05,27,80.1,0.0
2010,11,22,46.4,0.0
2010,01,10,20.4,0.0
2010,01,12,28.1,0.0
2010,01,16,41.9,0.0
2010,01,19,35.9,0.0
2010,01,23,31.9,0.0
2010,02,14,27.7,0.0
2010,03,11,49.3,0.0
2010,03,14,47.0,0.69
2010,04,10,47.4,0.03
2010,04,19,50.0,0.0
2010,04,21,52.3,0.0
2010,05,17,58.6,0.0
2010,05,28,65.9,0.47
2010,06,28,82.7,0.0
2010,07,11,77.4,0.6
2010,07,17,80.0,0.0
2010,07,20,75.8,0.13
2010,08,29,73.2,0.0
2010,09,07,73.9,0.0
2010,10,11,65.0,0.0
2010,10,19,51.9,0.35
2010,10,22,47.1,0.0
2010,11,18,45.7,0.28
2010,12,05,32.4,0.0
2010,12,06,31.5,0.0
2010,12,07,30.1,0.0
2010,12,11,30.4,0.0
2010,01,17,36.1,0.0
2010,02,20,34.0,0.0
2010,02,22,32.2,0.0
2010,03,04,37.5,0.0
2010,03,26,46.9,0.15
2010,04,20,53.1,0.0
2010,05,22,68.8,0.0
2010,06,05,75.8,0.02
2010,06,07,65.0,0.0
2010,06,16,70.9,0.0
2010,06,18,69.5,0.01
2010,06,19,74.1,0.0
2010,07,02,67.2,0.0
2010,07,22,79.1,0.03
2010,08,04,81.2,0.0
2010,08,06,77.9,0.0
2010,08,17,75.9,0.09
2010,09,10,65.1,0.0
2010,09,20,66.8,0.0
2010,09,21,60.1,0.0
2010,09,28,73.0,0.43
2010,10,07,57.8,0.16
2010,10,15,50.8,0.66
2010,10,20,48.1,0.01
2010,10,24,58.2,0.0
2010,11,03,40.3,0.0
2010,11,10,50.2,0.0
2010,11,12,43.6,0.0
2010,01,02,25.6,0.02
2010,01,05,26.1,0.0
2010,01,08,26.4,0.04
2010,01,22,34.9,0.0
2010,02,03,30.7,0.11
2010,02,19,36.5,0.0
2010,02,26,27.9,0.03
2010,02,28,34.1,0.0
2010,03,08,43.9,0.0
2010,04,01,56.6,0.01
2010,04,12,57.2,0.0
2010,04,17,52.2,0.24
2010,05,05,65.4,0.0
2010,05,11,44.9,0.0
2010,05,23,67.0,0.0
2010,06,04,73.7,0.19
2010,07,13,75.0,0.54
2010,07,24,86.5,0.0
2010,07,27,74.1,0.0
2010,09,19,65.9,0.0
2010,10,09,60.9,0.0
2010,10,10,58.1,0.0
2010,10,31,46.2,0.0
2010,11,06,40.6,0.0
2010,12,28,30.4,0.0
2010,02,23,35.2,0.2
2010,02,10,27.4,0.66
2010,03,23,52.8,0.22
2010,05,03,72.3,1.6
2010,10,01,64.6,4.74
2010,11,17,56.1,0.65
2010,07,25,80.5,0.0
2010,12,12,43.8,0.51
2010,12,27,24.9,0.0
