year,mo,da,temp,prcp
2007,11,27,50.5,0.44
2007,09,14,68.2,0.0
2007,12,01,31.9,0.0
2007,12,04,31.8,0.04
2007,08,09,77.6,0.1
2007,01,06,62.4,0.2
2007,01,09,34.9,0.1
2007,02,17,21.8,0.0
2007,03,24,48.6,0.38
2007,04,14,42.5,0.0
2007,04,15,43.8,1.31
2007,04,19,49.4,0.0
2007,04,21,58.0,0.0
2007,04,26,50.9,0.05
2007,05,07,52.6,0.0
2007,06,09,76.3,0.04
2007,06,18,79.5,0.0
2007,08,01,77.5,0.0
2007,08,24,75.1,0.0
2007,09,18,57.5,0.0
2007,09,19,60.7,0.0
2007,09,20,65.2,0.0
2007,09,22,71.2,0.04
2007,09,25,68.4,0.0
2007,10,13,49.2,0.02
2007,10,15,55.4,0.0
2007,10,31,49.1,0.0
2007,12,23,46.3,0.01
2007,01,03,37.6,0.0
2007,01,28,34.2,0.0
2007,02,02,31.0,0.0
2007,03,09,25.7,0.0
2007,03,12,41.4,0.0
2007,03,23,56.5,0.17
2007,04,17,44.2,0.24
2007,04,30,64.9,0.0
2007,05,14,55.9,0.0
2007,05,28,69.7,0.15
2007,06,03,71.3,0.01
2007,06,23,65.2,0.0
2007,07,02,64.3,0.0
2007,07,04,67.6,0.0
2007,07,15,77.9,0.0
2007,07,20,74.3,0.0
2007,08,04,79.8,0.0
2007,08,08,84.2,0.22
2007,10,16,58.7,0.0
2007,10,22,61.3,0.0
2007,10,25,52.7,0.45
2007,11,05,43.8,0.0
2007,11,07,42.4,0.03
2007,11,16,40.1,0.28
2007,11,24,30.0,0.0
2007,11,28,37.3,0.02
2007,12,02,28.9,0.0
2007,12,14,34.4,0.68
2007,12,20,34.8,0.0
2007,12,24,40.6,0.21
2007,12,26,31.8,0.0
2007,10,28,51.2,0.57
2007,01,16,44.3,0.0
2007,01,19,33.8,0.0
2007,01,21,22.5,0.0
2007,02,11,20.1,0.0
2007,02,15,15.9,0.71
2007,03,03,38.5,0.79
2007,03,18,28.8,0.0
2007,03,30,47.8,0.0
2007,03,31,49.3,0.0
2007,04,10,38.4,0.0
2007,07,26,76.3,0.0
2007,07,29,74.5,1.43
2007,08,12,72.7,0.01
2007,09,17,54.9,0.0
2007,10,01,61.5,0.0
2007,10,03,68.6,0.0
2007,10,10,67.5,0.88
2007,11,06,48.2,0.13
2007,11,20,41.9,0.08
2007,11,21,50.0,0.06
2007,12,16,33.1,0.13
2007,09,23,70.8,0.0
2007,03,25,50.0,0.08
2007,06,27,81.6,0.0
2007,02,22,35.2,0.0
2007,03,01,34.6,0.0
2007,03,16,32.0,0.22
2007,08,07,80.8,0.05
2007,11,10,38.5,0.06
2007,01,01,45.6,0.8
2007,02,27,35.4,0.01
2007,05,30,70.2,0.0
2007,07,18,76.2,0.03
2007,12,22,36.4,0.0
2007,09,13,63.0,0.0
2007,06,13,68.4,0.01
2007,01,08,45.0,0.86
2007,01,10,31.1,0.0
2007,01,18,25.7,0.0
2007,01,29,25.8,0.0
2007,02,19,19.2,0.0
2007,04,24,70.8,0.0
2007,05,04,57.5,0.0
2007,05,08,57.4,0.0
2007,05,27,72.5,0.0
2007,06,15,61.9,0.0
2007,06,19,77.0,0.0
2007,08,14,70.9,0.0
2007,08,16,75.8,0.0
2007,08,17,77.8,0.11
2007,10,04,69.6,0.01
2007,11,12,44.7,0.02
2007,11,30,35.1,0.02
2007,12,07,22.4,0.0
2007,12,08,33.4,0.08
2007,12,21,32.7,0.0
2007,12,28,40.0,0.0
2007,01,24,32.4,0.0
2007,03,06,20.7,0.0
2007,03,07,18.3,0.0
2007,03,10,37.8,0.0
2007,03,11,43.1,0.15
2007,04,02,52.5,0.05
2007,04,18,45.3,0.0
2007,04,22,61.6,0.0
2007,05,02,61.5,0.0
2007,05,12,68.3,0.01
2007,05,31,76.2,0.0
