year,mo,da,temp,prcp
2014,11,01,47.1,0.0
2014,02,21,37.6,0.04
2014,01,01,26.6,0.0
2014,01,05,18.9,0.0
2014,01,13,36.5,0.0
2014,01,14,44.7,0.01
2014,01,16,33.3,0.0
2014,01,28,10.9,0.0
2014,02,07,23.4,0.0
2014,02,28,11.7,0.0
2014,03,12,46.6,0.0
2014,03,13,24.8,0.29
2014,03,14,31.9,0.0
2014,03,15,49.2,0.0
2014,03,16,35.1,0.0
2014,03,21,41.0,0.0
2014,03,23,40.1,0.0
2014,03,24,27.0,0.0
2014,04,01,46.6,0.06
2014,04,02,46.9,0.0
2014,04,06,41.6,0.0
2014,04,10,50.5,0.0
2014,04,18,40.8,0.0
2014,04,19,51.1,0.0
2014,04,21,49.5,0.0
2014,04,26,55.7,0.19
2014,04,27,51.8,0.02
2014,05,05,53.4,0.0
2014,05,07,54.4,0.0
2014,05,10,67.1,0.0
2014,05,15,67.4,0.0
2014,05,23,63.5,0.01
2014,05,27,71.4,0.0
2014,05,31,66.8,0.0
2014,06,03,72.6,0.0
2014,06,09,71.5,0.11
2014,06,23,71.6,0.0
2014,07,04,70.6,0.45
2014,07,09,74.4,0.17
2014,07,15,73.7,0.72
2014,07,18,67.9,0.0
2014,07,21,71.8,0.0
2014,08,03,69.7,0.01
2014,08,10,70.8,0.0
2014,08,12,70.4,0.32
2014,08,14,66.3,0.04
2014,08,15,63.0,0.02
2014,08,25,69.8,0.0
2014,08,26,71.7,0.0
2014,08,31,76.9,0.0
2014,09,05,72.9,0.0
2014,09,06,74.7,0.02
2014,09,15,56.8,0.0
2014,09,20,64.1,0.0
2014,09,21,66.7,0.0
2014,09,26,61.8,0.25
2014,10,02,62.1,0.1
2014,10,04,60.9,0.3
2014,10,08,62.8,0.16
2014,10,16,62.3,3.89
2014,10,18,56.9,0.0
2014,10,27,51.7,0.0
2014,10,29,57.2,0.0
2014,11,07,45.6,0.09
2014,11,09,43.2,0.0
2014,11,10,43.6,0.0
2014,11,11,47.9,0.0
2014,11,14,34.4,0.09
2014,11,17,39.5,0.25
2014,11,19,22.7,0.0
2014,11,26,36.9,0.02
2014,11,27,34.0,0.91
2014,12,01,47.5,0.0
2014,12,02,35.5,0.24
2014,12,04,35.4,0.06
2014,12,06,40.2,0.23
2014,12,08,27.9,0.0
2014,12,13,33.9,0.0
2014,12,15,41.4,0.0
2014,12,22,28.6,0.0
2014,12,30,30.1,0.0
2014,01,06,39.3,0.35
2014,01,12,42.0,0.85
2014,01,15,34.5,0.21
2014,01,18,28.8,0.02
2014,01,23,10.0,0.0
2014,01,24,10.1,0.0
2014,01,25,18.8,0.0
2014,01,26,18.6,0.0
2014,01,30,11.9,0.0
2014,01,31,23.8,0.0
2014,02,02,35.2,0.0
2014,02,05,31.1,0.98
2014,02,06,25.7,0.07
2014,02,10,20.1,0.08
2014,02,11,15.0,0.0
2014,02,18,27.6,0.05
2014,02,23,37.7,0.0
2014,03,09,38.1,0.0
2014,03,20,43.8,0.35
2014,03,26,29.5,0.02
2014,03,29,48.0,0.08
2014,03,31,44.4,1.26
2014,04,07,41.0,0.0
2014,04,08,53.4,0.37
2014,04,24,46.9,0.0
2014,04,28,50.3,0.0
2014,05,08,60.4,0.0
2014,05,16,64.0,0.92
2014,05,17,55.0,0.93
2014,05,18,53.5,0.0
2014,05,22,66.0,0.45
2014,06,04,70.9,0.17
2014,06,05,66.6,0.22
2014,06,08,70.2,0.0
2014,06,13,71.7,0.53
2014,06,20,68.0,0.07
2014,06,21,68.1,0.01
2014,06,25,78.2,0.0
2014,06,27,74.3,0.0
2014,07,02,80.9,0.0
2014,07,03,78.2,0.06
2014,07,06,70.7,0.0
2014,07,11,72.4,1.11
2014,07,14,75.0,0.15
2014,07,16,71.8,0.78
2014,07,22,75.2,0.0
2014,07,23,77.1,0.0
2014,08,11,70.3,0.0
2014,08,16,63.9,0.0
2014,08,17,66.7,0.0
2014,09,03,72.7,0.05
2014,09,04,71.6,0.0
2014,09,08,65.0,0.0
2014,09,19,58.9,0.0
2014,09,24,58.0,0.0
2014,09,29,66.4,0.0
2014,10,03,60.7,0.0
2014,10,10,52.0,0.0
2014,10,14,67.9,0.05
2014,10,22,53.9,0.01
2014,10,26,58.1,0.0
2014,10,28,55.6,0.0
2014,10,31,47.4,0.0
2014,11,04,55.1,0.0
2014,11,15,31.8,0.0
2014,12,14,39.2,0.0
2014,12,19,35.0,0.0
2014,12,21,29.6,0.0
2014,12,23,42.8,0.12
2014,12,26,37.6,0.05
2014,12,27,37.4,0.0
2014,02,20,34.5,0.0
2014,09,17,60.4,0.0
2014,05,20,60.3,0.0
2014,08,18,67.0,0.02
2014,01,04,9.8,0.01
2014,01,10,29.9,0.0
2014,01,29,11.4,0.0
2014,02,01,32.8,0.0
2014,02,09,21.2,0.0
2014,02,12,12.2,0.0
2014,02,25,24.7,0.0
2014,03,01,18.8,0.0
2014,03,04,16.2,0.0
2014,03,06,22.3,0.0
2014,03,11,44.2,0.0
2014,03,17,27.3,0.02
2014,03,25,26.4,0.0
2014,03,27,30.2,0.0
2014,03,28,44.9,0.0
2014,04,03,52.5,0.08
2014,04,09,49.3,0.0
2014,04,11,59.1,0.0
2014,04,12,56.5,0.06
2014,04,16,35.5,0.99
2014,04,17,40.6,0.0
2014,04,20,51.4,0.0
2014,04,25,48.7,0.0
2014,05,09,61.9,0.0
2014,05,12,67.1,0.0
2014,05,13,67.9,0.0
2014,05,24,62.9,0.0
2014,05,26,69.7,0.0
2014,06,01,63.2,0.0
2014,06,02,67.2,0.0
2014,06,10,72.6,0.88
2014,06,11,69.2,0.33
2014,06,16,71.5,0.0
2014,06,17,78.9,0.0
2014,06,24,74.3,0.0
2014,07,07,80.0,0.0
2014,07,08,81.6,0.0
2014,07,20,71.1,0.04
2014,07,25,67.1,0.0
2014,07,26,70.0,0.0
2014,07,27,76.7,0.0
2014,07,31,70.2,0.0
2014,08,06,69.8,0.0
2014,08,07,70.0,0.0
2014,08,20,73.4,0.0
2014,08,22,72.3,0.0
2014,08,23,68.4,0.0
2014,08,24,68.9,0.0
2014,08,29,64.3,0.0
2014,08,30,66.4,0.0
2014,09,01,76.8,0.1
2014,09,12,65.8,0.0
2014,09,16,62.1,0.01
2014,09,23,56.5,0.0
2014,09,25,60.2,0.1
2014,09,28,65.3,0.0
2014,09,30,66.3,0.0
2014,10,01,64.2,0.37
2014,10,07,62.1,0.0
2014,10,09,57.6,0.0
2014,10,15,69.1,0.0
2014,10,19,49.2,0.0
2014,10,23,53.2,0.06
2014,10,30,47.9,0.05
2014,11,02,42.9,0.0
2014,11,03,45.2,0.0
2014,11,08,37.6,0.0
2014,11,12,55.4,0.0
2014,11,16,33.9,0.0
2014,11,18,28.3,0.55
2014,11,23,40.0,0.0
2014,12,07,38.2,0.49
2014,12,09,35.5,0.26
2014,12,10,39.6,0.15
2014,12,11,32.1,0.04
2014,12,20,31.1,0.0
2014,12,25,50.2,0.59
2014,12,12,33.7,0.0
2014,03,18,34.5,0.0
2014,12,29,38.9,0.0
