year,mo,da,temp,prcp
2017,09,18,68.4,0.11
2017,07,24,77.1,0.89
2017,04,06,49.1,0.06
2017,05,14,55.4,0.32
2017,05,13,51.4,0.53
2017,04,21,61.3,0.75
2017,01,22,44.5,0.0
2017,12,31,15.1,0.08
2017,07,23,79.1,0.0
2017,03,27,46.8,0.21
2017,05,25,60.8,0.27
2017,12,23,45.3,0.28
2017,03,28,52.6,0.04
2017,06,17,74.4,0.02
2017,08,18,78.5,0.0
2017,01,04,43.0,0.46
2017,11,02,57.4,0.0
2017,08,21,73.2,0.0
2017,09,07,61.3,0.09
2017,07,18,75.9,0.04
2017,01,06,26.2,0.07
2017,01,18,42.9,0.45
2017,09,19,71.0,0.0
2017,04,26,59.0,0.48
2017,06,19,79.9,0.0
2017,06,26,70.4,0.0
2017,10,04,60.9,0.0
2017,12,04,36.7,0.0
2017,09,17,71.5,0.0
2017,11,19,50.5,1.17
2017,11,14,41.1,0.01
2017,12,01,43.6,0.02
2017,04,22,55.4,0.16
2017,05,28,64.8,0.0
2017,11,03,60.7,0.0
2017,09,05,71.3,0.0
2017,08,03,74.4,0.55
2017,03,19,38.7,0.0
2017,03,29,51.9,0.23
2017,08,13,71.8,0.1
2017,04,19,52.2,0.0
2017,06,06,68.1,0.35
2017,10,30,50.1,0.93
2017,03,03,32.6,0.0
2017,09,25,76.8,0.0
2017,05,26,65.3,0.22
2017,11,09,40.8,0.0
2017,06,16,70.3,0.06
2017,02,13,35.5,0.17
2017,02,22,46.1,0.0
2017,02,07,44.4,0.0
2017,01,11,38.4,0.2
2017,05,07,50.5,0.07
2017,09,26,74.5,0.0
2017,05,16,64.5,0.0
2017,10,07,71.0,0.0
2017,12,06,43.6,0.14
2017,08,02,76.9,0.0
2017,04,20,61.8,0.0
2017,10,10,73.4,0.54
2017,06,30,81.5,0.0
2017,12,08,33.7,0.0
2017,05,02,68.6,0.0
2017,10,16,60.1,0.1
2017,07,29,72.2,0.64
2017,03,08,55.9,0.23
2017,02,08,52.0,0.25
2017,05,11,53.3,0.0
2017,04,05,59.4,0.03
2017,11,20,39.4,0.13
2017,12,28,15.0,0.0
2017,01,13,47.1,0.01
2017,09,29,59.8,0.0
2017,06,02,66.7,0.0
2017,12,12,36.9,0.0
2017,04,08,46.0,0.0
2017,10,05,67.5,0.0
2017,01,10,21.7,0.0
2017,04,07,44.7,1.59
2017,11,04,49.5,0.0
2017,07,04,79.0,0.0
2017,09,08,60.3,0.0
2017,06,08,62.8,0.0
2017,07,11,80.1,0.0
2017,01,28,35.1,0.0
2017,03,17,32.4,0.0
2017,02,04,26.5,0.0
2017,05,19,80.3,0.0
2017,02,02,37.4,0.0
2017,02,10,24.3,0.01
2017,09,30,57.7,0.01
2017,04,23,52.4,0.08
2017,09,23,71.8,0.0
2017,04,13,55.7,0.01
2017,10,22,58.1,0.0
2017,06,25,74.7,0.92
2017,08,25,68.8,0.01
2017,06,28,67.5,0.0
2017,08,11,73.2,0.0
2017,08,28,64.7,0.0
2017,05,09,50.9,0.0
2017,11,23,33.6,0.0
2017,03,11,25.0,0.11
2017,02,21,40.5,0.0
2017,05,27,63.7,0.0
2017,06,14,80.6,0.0
2017,01,08,17.5,0.01
2017,04,10,60.6,0.0
2017,06,01,70.3,0.0
2017,04,12,66.5,0.0
2017,05,20,64.2,0.0
2017,04,14,54.1,0.0
2017,03,16,28.5,0.0
2017,01,31,30.9,0.0
2017,10,17,48.7,0.02
2017,12,21,32.8,0.0
2017,07,16,74.5,0.0
2017,03,30,43.1,0.0
2017,10,01,54.2,0.0
2017,05,04,53.0,0.0
2017,09,06,61.7,0.54
2017,12,30,18.3,0.04
2017,12,25,32.1,0.11
2017,04,01,45.3,1.06
2017,07,06,71.9,0.05
2017,07,14,76.2,0.05
2017,10,23,61.9,0.0
2017,05,05,58.4,0.27
2017,10,29,61.5,0.07
2017,10,13,56.9,0.01
2017,03,14,29.0,0.77
2017,07,07,74.8,0.54
2017,10,12,60.9,0.62
2017,05,29,62.4,0.23
2017,01,02,36.4,0.18
2017,03,15,22.5,0.72
2017,07,28,75.3,0.0
2017,04,27,64.6,0.07
2017,07,26,72.0,0.0
2017,08,22,77.0,2.21
2017,08,07,67.1,0.51
2017,04,04,61.8,0.18
2017,08,29,62.1,0.08
2017,05,31,68.8,0.0
2017,06,07,59.7,0.09
2017,06,24,77.2,1.44
2017,10,06,69.7,0.01
2017,12,14,27.0,0.05
2017,09,14,70.1,0.16
2017,07,27,73.3,0.0
2017,02,12,39.4,0.0
2017,02,23,52.7,0.0
2017,12,10,28.0,0.13
2017,06,05,66.2,0.0
2017,10,14,62.6,0.02
2017,03,10,39.8,0.04
2017,09,02,55.9,0.0
2017,11,18,37.4,0.0
2017,08,30,65.5,0.28
2017,07,17,75.0,0.0
2017,04,29,71.6,0.14
2017,12,24,39.4,0.4
2017,01,23,42.4,0.06
2017,07,08,74.0,0.32
2017,01,14,31.4,0.0
2017,06,18,81.2,0.0
2017,02,26,38.3,0.2
2017,01,07,21.0,0.04
2017,01,12,54.1,0.33
2017,12,15,21.9,0.0
2017,04,30,67.6,0.02
2017,05,15,59.7,0.01
2017,08,23,76.0,0.3
2017,03,07,46.9,0.03
2017,04,25,54.5,0.13
2017,09,16,71.4,0.0
2017,08,04,77.1,0.01
2017,06,20,75.3,0.66
2017,04,15,55.1,0.0
2017,09,15,69.5,0.04
2017,11,16,47.9,0.03
2017,07,19,81.6,0.0
2017,04,17,65.7,0.0
2017,08,20,71.7,0.06
2017,05,24,63.4,0.09
2017,08,10,71.6,0.0
2017,05,12,54.2,0.09
2017,10,19,56.3,0.0
2017,02,01,41.0,0.0
2017,08,06,67.0,0.47
2017,03,25,55.9,0.0
2017,08,01,76.9,0.0
2017,03,12,26.8,0.0
2017,07,31,73.8,0.0
2017,10,02,56.7,0.0
2017,06,12,81.0,0.0
2017,03,05,24.3,0.0
2017,02,16,33.3,0.0
2017,12,20,42.9,0.0
2017,11,21,40.3,0.0
2017,02,18,42.3,0.0
2017,11,26,44.3,0.0
2017,10,21,57.1,0.0
2017,09,20,75.7,0.0
2017,11,17,42.9,0.0
2017,02,19,57.2,0.0
2017,02,11,34.5,0.0
2017,04,24,53.0,0.0
2017,01,05,28.7,0.02
2017,09,11,60.0,0.0
2017,07,21,84.7,0.0
2017,04,02,48.8,0.0
2017,12,07,36.9,0.0
2017,11,27,40.0,0.0
2017,10,18,52.8,0.0
2017,03,21,47.2,0.01
2017,03,13,27.5,0.0
2017,05,08,48.7,0.01
2017,10,28,54.9,0.0
2017,10,31,49.0,0.17
2017,09,27,76.0,0.0
2017,06,09,67.0,0.0
2017,01,27,39.6,0.0
2017,12,22,37.0,0.0
2017,10,25,56.0,0.0
2017,09,24,75.4,0.0
2017,08,09,71.1,0.0
2017,08,24,68.7,0.01
2017,12,03,39.3,0.0
2017,09,09,58.2,0.0
2017,07,02,78.9,0.53
2017,02,05,33.4,0.0
2017,07,30,70.5,0.33
2017,04,18,58.2,0.02
2017,03,02,48.5,0.31
2017,03,06,34.9,0.0
2017,07,03,78.6,0.0
2017,12,13,23.5,0.0
2017,10,26,48.8,0.0
2017,01,21,42.7,0.21
2017,05,30,60.4,0.05
2017,09,03,63.3,0.72
2017,03,31,41.9,0.06
2017,10,09,75.6,0.25
2017,01,03,40.7,0.06
2017,10,08,75.7,0.05
2017,05,23,60.8,0.1
2017,02,09,33.4,0.28
2017,01,17,37.8,0.0
2017,05,06,58.8,0.87
2017,12,05,47.3,0.0
2017,03,26,45.6,0.0
2017,08,12,73.8,0.02
2017,09,13,64.8,0.0
2017,05,01,63.9,0.0
2017,03,01,59.2,0.08
2017,11,05,54.2,0.24
2017,08,16,73.8,0.02
2017,01,20,36.0,0.0
2017,12,09,30.9,0.0
2017,08,05,72.2,1.35
2017,10,15,66.0,0.0
2017,07,01,78.0,0.0
2017,10,24,69.5,0.05
2017,07,15,78.3,0.59
2017,06,22,75.1,0.04
2017,02,25,62.4,0.0
2017,08,08,70.8,0.16
2017,08,15,70.4,0.14
2017,03,18,36.3,0.01
2017,01,15,32.3,0.03
2017,12,16,28.1,0.04
2017,04,16,67.5,0.0
2017,10,11,66.9,0.0
2017,11,10,39.4,0.03
2017,11,06,62.1,0.05
2017,11,15,41.3,0.0
2017,11,08,41.1,0.43
2017,08,19,78.2,0.96
2017,11,13,39.3,0.1
2017,08,14,69.1,0.0
2017,06,21,72.5,0.0
2017,05,22,59.2,0.03
2017,01,24,38.8,0.53
2017,06,23,79.3,0.02
2017,07,22,81.1,0.0
2017,08,17,74.1,0.0
2017,01,19,43.6,0.0
2017,07,25,71.9,0.09
2017,07,20,83.4,0.0
2017,06,27,69.4,0.0
2017,01,16,29.6,0.0
2017,06,29,74.6,0.0
2017,01,30,30.9,0.0
2017,12,26,25.0,0.03
2017,11,01,43.5,0.0
2017,09,21,73.3,0.0
2017,09,28,71.0,0.0
2017,03,20,40.1,0.0
2017,01,09,17.4,0.0
2017,02,17,30.9,0.0
2017,11,12,32.8,0.0
2017,12,18,38.8,0.0
2017,12,27,21.4,0.0
2017,07,09,71.9,0.0
2017,11,22,46.0,0.0
2017,01,01,43.4,0.0
2017,02,20,50.9,0.0
2017,11,07,41.7,0.02
2017,08,31,69.7,0.0
2017,02,06,43.2,0.0
2017,05,17,72.9,0.0
2017,12,02,36.8,0.0
2017,07,10,74.2,0.0
2017,06,11,79.4,0.0
2017,06,13,83.1,0.0
2017,10,27,48.5,0.0
2017,02,24,61.6,0.0
2017,04,28,69.8,0.0
2017,06,03,64.2,0.0
2017,02,03,28.1,0.0
2017,03,04,27.3,0.0
2017,03,23,31.6,0.0
2017,03,22,40.9,0.0
2017,01,25,46.0,0.01
2017,12,17,34.1,0.0
2017,07,05,75.1,0.0
2017,12,29,15.6,0.0
2017,01,29,35.6,0.0
2017,06,10,74.7,0.0
2017,02,28,48.2,0.0
2017,08,26,68.8,0.0
2017,03,09,56.2,0.02
2017,09,04,67.3,0.07
2017,09,10,58.9,0.0
2017,07,12,81.0,0.0
2017,01,26,44.2,0.0
2017,11,25,40.8,0.0
2017,03,24,40.6,0.0
2017,11,11,26.9,0.0
2017,06,04,63.5,0.0
2017,05,18,81.7,0.0
2017,04,11,66.6,0.0
2017,11,28,42.5,0.0
2017,10,20,59.1,0.0
2017,04,09,51.1,0.0
2017,02,27,36.6,0.0
2017,12,11,35.3,0.0
2017,08,27,65.8,0.0
2017,09,22,72.6,0.0
2017,05,10,56.6,0.0
2017,09,01,61.8,0.0
2017,09,12,63.8,0.0
2017,07,13,81.8,0.0
2017,05,03,58.7,0.0
2017,11,29,49.1,0.0
2017,02,14,33.2,0.0
2017,02,15,36.3,0.0
2017,11,30,41.7,0.0
2017,04,03,52.2,0.0
2017,12,19,47.6,0.0
2017,10,03,58.8,0.0
2017,11,24,35.5,0.0
2017,05,21,61.0,0.0
2017,06,15,75.8,0.0
